土層名,土質区分,標高上端,標高下端,層厚,N値,打撃回数法,貫入量,一軸圧縮強度
裏込め土(NO.1),砂質土等,3.00,-8.10,11.10,31,,,
沖積砂質土層(NO.2),砂質土等,-8.10,-11.00,2.90,26,,,
沖積砂質土層(NO.3),砂質土等,-11.00,-17.50,6.50,26,,,
沖積粘性土層(NO.4),粘性土,-17.50,-24.50,7.00,10,,,
洪積粘性土層(NO.5),粘性土,-24.50,-35.00,10.50,24,,,
